timestamp,idx,label,width,height,xmin,ymin,xmax,ymax,score
3_20191018_162514_000360,3,car,1920,1080,738,588,814,638,0.58203125
3_20191018_162514_000360,4,car,1920,1080,908,613,999,658,0.41796875
3_20191018_162514_000360,5,car,1920,1080,649,574,704,620,0.41796875
3_20191018_162514_000360,6,car,1920,1080,542,537,596,563,0.41796875
3_20191018_162514_000360,7,car,1920,1080,1075,579,1109,611,0.33984375
3_20191018_162514_000390,0,car,1920,1080,550,594,615,630,0.66015625
3_20191018_162514_000390,1,car,1920,1080,657,593,696,626,0.66015625
3_20191018_162514_000390,2,car,1920,1080,716,598,849,675,0.58203125
3_20191018_162514_000390,3,car,1920,1080,512,616,643,674,0.58203125
3_20191018_162514_000390,4,car,1920,1080,905,612,998,663,0.5
3_20191018_162514_000390,5,car,1920,1080,738,587,823,636,0.41796875
3_20191018_162514_000420,0,car,1920,1080,647,593,826,695,0.83984375
3_20191018_162514_000420,1,car,1920,1080,513,594,652,686,0.83984375
3_20191018_162514_000420,2,car,1920,1080,130,601,330,688,0.7890625
3_20191018_162514_000420,3,car,1920,1080,891,604,1009,667,0.41796875
3_20191018_162514_000420,4,car,1920,1080,826,602,910,665,0.33984375
3_20191018_162514_000450,0,car,1920,1080,545,596,593,622,0.5
3_20191018_162514_000450,1,car,1920,1080,453,596,510,625,0.33984375
3_20191018_162514_000450,2,car,1920,1080,594,582,766,703,0.33984375
3_20191018_162514_000510,0,car,1920,1080,107,624,243,679,0.7890625
3_20191018_162514_000510,1,car,1920,1080,173,613,284,669,0.73046875
3_20191018_162514_000510,2,car,1920,1080,355,603,513,706,0.66015625
3_20191018_162514_000510,3,car,1920,1080,1431,573,1502,619,0.5
3_20191018_162514_000510,4,car,1920,1080,247,607,289,632,0.41796875
3_20191018_162514_000510,5,car,1920,1080,565,601,610,635,0.41796875
3_20191018_162514_000510,6,car,1920,1080,453,580,503,612,0.41796875
3_20191018_162514_000570,0,car,1920,1080,440,594,507,640,0.7890625
3_20191018_162514_000570,1,car,1920,1080,539,591,586,628,0.7890625
3_20191018_162514_000570,2,car,1920,1080,423,606,517,659,0.73046875
3_20191018_162514_000570,3,car,1920,1080,646,588,717,638,0.66015625
3_20191018_162514_000570,4,car,1920,1080,356,598,413,636,0.58203125
3_20191018_162514_000570,5,car,1920,1080,205,610,310,671,0.5
3_20191018_162514_000600,0,car,1920,1080,645,597,694,633,0.83984375
3_20191018_162514_000600,1,car,1920,1080,551,595,614,637,0.7890625
3_20191018_162514_000600,2,car,1920,1080,760,588,798,625,0.73046875
3_20191018_162514_000600,3,car,1920,1080,91,579,483,727,0.58203125
3_20191018_162514_000600,4,car,1920,1080,810,582,967,710,0.5
3_20191018_162514_000600,5,car,1920,1080,247,596,443,709,0.41796875
3_20191018_162514_000600,6,car,1920,1080,60,605,212,685,0.41796875
3_20191018_162514_000600,7,car,1920,1080,1079,576,1119,608,0.41796875
3_20191018_162514_000600,8,car,1920,1080,454,592,510,635,0.41796875
3_20191018_162514_000600,9,car,1920,1080,1133,592,1185,624,0.33984375
3_20191018_162514_000630,0,car,1920,1080,1230,591,1327,633,0.83984375
3_20191018_162514_000630,1,car,1920,1080,645,590,708,627,0.7890625
3_20191018_162514_000630,2,car,1920,1080,751,592,787,621,0.7890625
3_20191018_162514_000630,3,car,1920,1080,361,603,521,681,0.66015625
3_20191018_162514_000630,4,car,1920,1080,544,599,608,635,0.58203125
3_20191018_162514_000630,5,car,1920,1080,534,612,604,677,0.5
